Historical Period,Time/Century,Edition_ID,URL,Scholarly,Digital,Edition,Prototype,Language,Writing support,Begin date,End date,Manager,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML-TEI available to download,Images,Zoom images,"Image manipulation (brightness, saturation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile compatibility/application,Print-friendly view,Print facsimile (complementary output),Manuscript(s') repository,Manuscript place of origin,Sponsor/Funding body,Budget (rough),Infrastructure,CDROM: Easy to access?,CDROM: Cost
Middle Ages,1195,Becerro Galicano of San Millán de la Cogolla,http://www.ehu.es/galicano/?l=en,no information provided,1,1,0,LAT,Codex; Cartulary,no information provided,no information provided,David Peterson,Universidad del PaÍs Vasco,no information provided,0,no information provided,no information provided,1,0,no information provided,no information provided,no information provided,no information provided,no information provided,ENG; SPA; BAQ,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,9th,The Durham Liber Vitae Project,http://www.dlv.org.uk/index.html,no information provided,1,no information provided,no information provided,ANG (Northumbrian),Manuscript,2003,2007,David Rollason,King's College London (Department of Digital Humanities); University of Durham,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,0,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,1,no information provided,Durham Cathedral Priory,"Northumbrian church, probably Lindisfarne, but possibly Monkwearmouth/Jarrow.",no information provided,no information provided,no information provided,N/A,N/A
Contemporary,1920s-1960s,Samuel Beckett Digital Manuscript Project,http://www.beckettarchive.org/login.html,no information provided,no information provided,no information provided,no information provided,ENG,Manuscript,no information provided,no information provided,Dirk Van Hulle,University of Antwerp; University of Reading; Harry Ransom Humanities Research Center; Estate of Samuel Beckett,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Antiquity; Middle Ages,4th-15th AD,Euripides Scholia,http://euripidesscholia.org/EurSchHome.html,1,0,1,1,GRC,no information provided,2007,2010,Donald J. Mastronarde,University of California Irvine,Scholars; students,1,"0,5",1,1,no information provided,0,0,0,0,0,ENG,0,0,0,0,1,1,0,0,1,1,0,Keyed,no information provided,0,0,Various,Various,Loeb Classical Library Foundation (in part),no information provided,HTML/CSS; Alpheios,N/A,N/A
Middle Ages,1225,Heimskringla,http://omacl.org/Heimskringla/,no information provided,no information provided,no information provided,no information provided,NON,no information provided,1996,no information provided,Douglas B. Killings,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,0,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,Various. The single surviving page known as the Kringla leaf is kept in the National and University Library of Iceland,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,12th,Partonopeus de Blois,http://www.hrionline.ac.uk/partonopeus/,no information provided,1,no information provided,no information provided,FRO,no information provided,no information provided,no information provided,Penny Simons,University of Sheffield,Scholars workin on Old French texts and manuscripts,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,1,no information provided,no information provided,Keyed,no information provided,no information provided,See for details of project not given on website:http://www.arts-humanities.net/projects/partonopeus_de_blois_electronic_resource,Bibliothèque nationale de France; Bibliothèque de l'Arsenal; Bibliothèque municipale de Tours; Burgerbibliothek Bern; Biblioteca Apostolica Vaticana; Beinecke Rare Books Library; Parker Library Corpus Christi College Cambridge,no information provided,AHRC,no information provided,no information provided,N/A,N/A
Middle Ages,1216-1272,Henry III Fine Rolls Project,http://www.finerollshenry3.org.uk/,no information provided,no information provided,no information provided,no information provided,LAT,Manuscript; roll,2005,2011,Beth Hartland; Harold Short; Arianna Ciula; David Carpenter; David Crook; Sean Cunningham; Paul Dryburgh; Louise Wilkinson,King's College London (Department of Digital Humanities); Canterbury Christ Church University,no information provided,1,0,no information provided,0,no information provided,1,1,0,0,0,ENG,no information provided,1,1,1,0,no information provided,no information provided,0,no information provided,1,no information provided,Keyed,no information provided,no information provided,1,The National Archives (UK),no information provided,AHRC,no information provided,xMod (KCL custom),N/A,N/A
Early Modern,18th,Die Briefwechsel der Mathematiker Bernoulli,http://www.ub.unibas.ch/bernoulli/index.php/Briefinventar,no information provided,no information provided,no information provided,no information provided,LAT,no information provided,no information provided,no information provided,Fritz Nagel,University of Basel,"Mathematicians; physicists; historians of science or local history; partner editions (e.gr. The Euler Edition, the Leibniz Edition, the Dalambert Edition); biographers",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,GER,no information provided,no information provided,1,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,1749-1750,La Famiglia dell'Antiquario,http://www.intratext.com/X/ITA0763.HTM,no information provided,no information provided,no information provided,no information provided,ITA,no information provided,no information provided,no information provided,Giuseppe Bonghi,no information provided,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ITA,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,980-1060,Die Glossen Ekkeharts IV. im Codex Sangallensis 621,http://orosius.monumenta.ch/,no information provided,1,no information provided,no information provided,LAT,Manuscript,2005,2010,Heidi Eisenhut,University of Zürich,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,GER,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,981 manuscripts from 42 Swiss libraries,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Antiquity,6th BC-4th AD,Inscriptions of the Northern Black Sea (IOSPE),http://iospe.kcl.ac.uk/corpus/index.html,1,1,1,no information provided,"GRC, LAT",Tablets; prisms; cylinders; rock faces; steles; wall; threshold slabs; etc.,forthcoming,no information provided,Irene Polinskaya,King's College London (Department of Classics; Department of Digital Humanities); Russian Academy of Sciences (Institute of World History; Institute of Oriental Manuscripts; St Petersburg Institute of History); Institute Ausonius - CNRS - University of Bordeaux 3; The State Hermitage,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG; RUS,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,forthcoming,N/A,"Northern Black Sea. Bulgaria, Romania, Ukraine",A. G. Leventis Foundation; Loeb Library Foundation; British Academy (2008-2009); Russian Foundation for the Humanities;  Russian Foundation for Basic Research; Swiss National Science Foundation (SNSF); Ministère des Affaires étrangères et européennes (MAEE); Centre nationale de la recherche scientifique,no information provided,xMod (KCL custom),N/A,N/A
Early Modern,1615,La Entretenida Digital Edition,http://entretenida.outofthewings.org/index.html,1,no information provided,1,1,SPA,Manuscript,no information provided,no information provided,John O'Neill,King's College London (Department of Digital Humanities),no information provided,no information provided,no information provided,no information provided,1,no information provided,1,no information provided,no information provided,no information provided,0,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,AHRC,no information provided,xMod (KCL custom),N/A,N/A
Early Modern,1720,A Survey of the Cities of London and Westminster by John Strype,http://www.hrionline.ac.uk/strype/,no information provided,1,no information provided,no information provided,ENG,no information provided,2007,no information provided,Julia Merritt ,University of Sheffield; University of Nottingham,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,British Library; MOTCO Enterprises Limited (Maps and Illustrations),no information provided,"The Leverhulme Trust, University of Sheffield",no information provided,no information provided,N/A,N/A
Early Modern,1559-1588,Letters of William Herle Project,http://www.livesandletters.ac.uk/herle/index.html,1,1,1,1,ENG,Letters,no information provided,no information provided,Matthew Symonds,University College London,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,AHRC,no information provided,no information provided,N/A,N/A
Early Modern,1585-1597,The Diplomatic Correspondence of Thomas Bodley,http://www.livesandletters.ac.uk/bodley/bodley.html,no information provided,1,no information provided,no information provided,ENG,Manuscript; letters,no information provided,no information provided,Matthew Symonds,University College London; Bodleian Library,no information provided,no information provided,no information provided,no information provided,"0,5",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,1661-1691,The Hooke Folio Online,http://www.livesandletters.ac.uk/cell/Hooke/Hooke.html,1,1,1,1,ENG,Manuscript,no information provided,no information provided,Matthew Symonds,University College London,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,1647-1691,The Workdiaries of Robert Boyle,http://www.livesandletters.ac.uk/wd/index.html,no information provided,no information provided,no information provided,no information provided,ENG,Manuscript; Diary,no information provided,no information provided,Matthew Symonds,University College London; Royal Society; British Library; Birkbeck College,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,"The Wellcome Trust, Heritage Lottery Fund",no information provided,no information provided,N/A,N/A
Early Modern,1700s-1730s,Jonathan Swift Archive,http://jonathanswiftarchive.org.uk/index.html,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,2004,no information provided,Paddy Bullard,King's College London (Department of Digital Humanities); Keele University; University of Oxford,no information provided,no information provided,no information provided,no information provided,1,no information provided,0,0,0,0,0,ENG,no information provided,no information provided,no information provided,no information provided,0,"1,5",no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,1,no information provided,no information provided,AHRC,no information provided,xMod (KCL custom),N/A,N/A
Middle Ages,850-851,The St Gall Priscian Glosses,http://www.stgallpriscian.ie,no information provided,no information provided,no information provided,no information provided,LAT,no information provided,no information provided,no information provided,Pádraic Moran,National University of Ireland,"Scholars; research students in the fields of Celtic linguistics, Late Antique and medieval Latin, history of linguistics",no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,1,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,Stiftsbibliothek St. Gallen,no information provided,Irish Research Council for Humanities and Social Sciences,no information provided,no information provided,N/A,N/A
Long Nineteenth Century; Modern,19th-20th,Nietzsche Source,http://www.nietzschesource.org/,no information provided,no information provided,no information provided,no information provided,GER,no information provided,no information provided,no information provided,Paolo D'Iorio,CNRS,no information provided,no information provided,no information provided,no information provided,1,no information provided,1,no information provided,no information provided,no information provided,no information provided,GER; ENG; ITA; FRE,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,9th century-,Early Irish Glossaries Database,http://www.asnc.cam.ac.uk/irishglossaries/,no information provided,1,no information provided,no information provided,SGA,no information provided,2006,present,Paul Russell,University of Cambridge,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,1,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,Trinity College Dublin; University College Dublin; Royal Irish Academy Dublin; British Library; Bodleian Library,no information provided,AHRC,no information provided,MySQL; PHP,N/A,N/A
Early Modern,1577; 1587,The Holinshed Project,http://www.cems.ox.ac.uk/holinshed/index.shtml,1,no information provided,1,no information provided,ENM,Manuscript,no information provided,no information provided,Paulina Kewes,University of Oxford,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,16th,Alciato's Book of Emblems,http://www.mun.ca/alciato/,no information provided,no information provided,no information provided,no information provided,LAT,no information provided,1995,2005,William Barker,Memorial University of Newfoundland,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,0,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,0,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,Various,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Early Modern,1605,Electronic Variorum Edition of the Quixote,http://www.csdl.tamu.edu:8080/veri/index-en.html,no information provided,no information provided,no information provided,no information provided,SPA,Manuscript,no information provided,no information provided,Eduardo Urbina,Texas A&M University,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Antiquity; Middle Ages,4th-9th,Corpus Rhythmorum Musicum (SAEC. IV-IX) I - Songs from non-liturgical sources ,http://www.corimu.unisi.it/,no information provided,1,no information provided,no information provided,LAT,no information provided,2007,present,Francesco Stella,Università degli Studi di Siena ad Arezzo; Università degli Studi di Bergamo ,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ITA; ENG,no information provided,no information provided,1,1,0,0,0,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,Università di Siena; Società Internazionale per lo Studio del Medioevo Latino,no information provided,CDROM and web,no information provided,no information provided
Antiquity,180 BC,The Book of Ben Sira,http://www.bensira.org/,no information provided,no information provided,no information provided,no information provided,HEB,Codex,no information provided,no information provided,Gary A. Rendsburg,Rutgers University,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,0,no information provided,no information provided,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,N/A,N/A
Middle Ages,1365-1431,Christine de Pizan: The Making of the Queen's Manuscript,http://www.pizan.lib.ed.ac.uk/,no information provided,no information provided,no information provided,no information provided,FRO,Codex,no information provided,no information provided,James Laidlaw,University of Edinburgh,no information provided,no information provided,no information provided,no information provided,1,no information provided,1,0,0,0,no information provided,ENG,no information provided,no information provided,no information provided,no information provided,0,"1,5",no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,British Library,no information provided,AHRC,no information provided,no information provided,N/A,N/A
Middle Ages,9th-15th,Corpus of the Inscriptions of Campā (CIC),http://isaw.nyu.edu/publications/inscriptions/campa/,no information provided,no information provided,no information provided,no information provided,"SAN, VIE",no information provided,no information provided,present,no information provided,École française d'Extrême-Orient; Institute for the Study of the Ancient World (New York University),no information provided,no information provided,no information provided,no information provided,1,no information provided,1,no information provided,no information provided,no information provided,no information provided,ENG,no information provided,1,1,no information provided,1,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Various,"Campā, Vietnam","Toyota Foundation (grant number D10-ID-1026); École française d'Extrème-Orient (EFEO); Center for Khmer Studies (Siem Reap, Cambodia)",no information provided,no information provided,N/A,N/A
Middle Ages,no information provided,Dante Online,http://www.danteonline.it/italiano/home_ita.asp,no information provided,no information provided,no information provided,no information provided,ITA,Manuscript,no information provided,no information provided,no information provided,Società Dantesca Italiana,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,ITA; ENG,no information provided,no information provided,no information provided,no information provided,0,no information provided,0,0,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,Various,no information provided,Ente Cassa di Risparmio di Firenze,no information provided,no information provided,N/A,N/A
Long Nineteenth Century,1825-1868,Darwin Correspondence Project,http://www.darwinproject.ac.uk/,1,1,1,0,ENG,Manuscript; letters,2002,present,James A. Secord,University of Cambridge; American Council of Learned Societies,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,0,0,0,0,ENG,no information provided,no information provided,1,1,0,no information provided,no information provided,0,no information provided,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,no information provided,Andrew W. Mellon Foundation; Alfred P. Sloan Foundation; AHRC; The Bonita Trust; British Academy; British Ecological Society; Evolution Education Trust; Golden Family Foundation; Isaac Newton Trust; John Templeton Foundation; National Science Foundation; National Endowment for the Humanities; Natural Environment Research Council; Pew Charitable Trusts; Pilgrim Trust; Royal Society; Stifterverband für die Deutsche Wissenschaft; Wellcome Trust,no information provided,no information provided,N/A,N/A
Modern,1950,De Trein der Traagheid CDROM & new online version,http://edities.ctb.kantl.be/daisne/index.htm,1,1,1,0,DUT,Letters,no information provided,no information provided,Edward Vanhoutte,Centrum voor Teksteditie en Bronnenstudie (Koninklijke Academie voor Nederlandse Taal- en letterkunde),no information provided,1,no information provided,no information provided,1,no information provided,1,1,0,0,no information provided,DUT,no information provided,no information provided,no information provided,no information provided,1,no information provided,no information provided,0,no information provided,1,no information provided,Keyed,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,no information provided,CDROM,no information provided,no information provided
